bar,date,time,csv_CMMA_S,computed_CMMA_S,csv_CMMA_M,computed_CMMA_M,csv_CMMA_L,computed_CMMA_L
256,20241025,1600,nan,-7.155048423,nan,3.584053246,nan,0.9860473256
257,20241025,1700,nan,-29.59389801,nan,-8.685802655,nan,-6.701230834
258,20241025,1800,nan,-23.11193668,nan,-6.0747585,nan,-4.737140995
259,20241025,1900,nan,-25.81996698,nan,-8.82848818,nan,-6.207410776
260,20241025,2000,nan,-21.115609,nan,-7.904548825,nan,-5.268532971
261,20241025,2100,nan,-8.459134471,nan,-3.133976236,nan,-1.852306755
262,20241025,2200,nan,-24.66408491,nan,-12.62468076,nan,-7.841206401
263,20241025,2300,nan,-19.29340057,nan,-11.73161553,nan,-7.060390883
264,20241026,0000,nan,-14.04781781,nan,-11.58147537,nan,-6.711154824
265,20241026,0100,nan,-10.21895657,nan,-12.14654968,nan,-6.839404752
266,20241026,0200,nan,-2.926887113,nan,-10.30010656,nan,-5.39359793
267,20241026,0300,nan,1.848188708,nan,-9.191029544,nan,-4.617914425
268,20241026,0400,nan,2.704285198,nan,-8.630253364,nan,-4.147699754
269,20241026,0500,nan,8.841676554,nan,-5.780800312,nan,-2.201740538
270,20241026,0600,nan,9.190351471,nan,-5.215633772,nan,-1.691930252
271,20241026,0700,nan,3.26494026,nan,-7.588464287,nan,-3.162440444
272,20241026,0800,nan,8.314869866,nan,-5.616860138,nan,-1.806774935
273,20241026,0900,nan,4.098915955,nan,-6.84056744,nan,-2.506319575
274,20241026,1000,nan,2.91055524,nan,-6.846538442,nan,-2.41142566
275,20241026,1100,nan,4.644734142,nan,-5.672718695,nan,-1.48745949
276,20241026,1200,nan,-0.1947562161,nan,-7.338655075,nan,-2.435836023
277,20241026,1300,nan,-5.447861128,nan,-9.457778641,nan,-3.736167889
278,20241026,1400,nan,-8.537392458,nan,-10.79176692,nan,-4.665801209
279,20241026,1500,nan,-5.153228213,nan,-9.270468313,nan,-3.750771834
280,20241026,1600,nan,-1.235944566,nan,-7.555608062,nan,-2.779000985
281,20241026,1700,nan,2.128835377,nan,-6.068377781,nan,-1.930294285
282,20241026,1800,nan,1.286434281,nan,-6.195762884,nan,-2.097816824
283,20241026,1900,nan,6.128140462,nan,-3.95203201,nan,-0.7072450703
284,20241026,2000,nan,8.610762292,nan,-2.45671522,nan,0.2234099584
285,20241026,2100,nan,5.02517903,nan,-3.682336863,nan,-0.6352939111
286,20241026,2200,nan,3.40025957,nan,-4.042687481,nan,-1.041466649
287,20241026,2300,nan,1.758286199,nan,-4.364262193,nan,-1.399293267
288,20241027,0000,nan,-1.60032126,nan,-5.248750766,nan,-2.197648888
289,20241027,0100,nan,-0.2779248086,nan,-3.942282061,nan,-1.569109044
290,20241027,0200,nan,-1.665010946,nan,-3.936760553,nan,-1.75743196
291,20241027,0300,nan,6.248110903,nan,0.1616614805,nan,0.7354165512
292,20241027,0400,nan,0.9764789198,nan,-1.713848818,nan,-0.6150267375
293,20241027,0500,nan,1.328729883,nan,-1.072619811,nan,-0.357729474
294,20241027,0600,nan,1.465758651,nan,-0.740728673,nan,-0.2797181032
295,20241027,0700,nan,2.378257886,nan,-0.2674012032,nan,-0.05570487279
296,20241027,0800,nan,3.059789797,nan,0.2711256351,nan,0.1948071754
297,20241027,0900,nan,0.03893798566,nan,-0.8437275574,nan,-0.6437712686
298,20241027,1000,nan,-2.332654183,nan,-1.72937357,nan,-1.317245557
299,20241027,1100,nan,-1.181569968,nan,-0.8892050043,nan,-0.8854861935
300,20241027,1200,nan,8.215549885,nan,3.816684365,nan,2.036174435
301,20241027,1300,nan,14.33673694,nan,7.462564189,nan,4.287411981
302,20241027,1400,nan,15.91506317,nan,8.920080554,nan,5.088203352
303,20241027,1500,nan,17.27931591,nan,10.56628589,nan,6.089856928
304,20241027,1600,nan,16.50273366,nan,11.3274483,nan,6.436922947
305,20241027,1700,nan,12.11473867,nan,10.39544188,nan,5.638803722
306,20241027,1800,nan,3.269854432,nan,7.176821923,nan,3.486955562
307,20241027,1900,nan,12.15682264,nan,11.84346875,nan,6.542791368
308,20241027,2000,nan,6.742415085,nan,10.1613892,nan,5.600117245
309,20241027,2100,nan,10.22051842,nan,12.59175764,nan,7.358492891
310,20241027,2200,nan,14.03390859,nan,15.24336229,nan,9.345643959
311,20241027,2300,nan,8.132107887,nan,13.36603791,nan,8.285484279
312,20241028,0000,nan,0.9924052028,nan,10.63026032,nan,6.555565419
313,20241028,0100,nan,-3.481331892,nan,8.544426468,nan,5.379747064
314,20241028,0200,nan,-1.466887054,nan,9.079497296,nan,5.924650359
315,20241028,0300,nan,-4.142396087,nan,7.47632831,nan,5.039556931
316,20241028,0400,nan,-3.441789734,nan,7.452315006,nan,5.188827109
317,20241028,0500,nan,1.902979078,nan,9.872750758,nan,6.927508116
318,20241028,0600,nan,3.477810902,nan,10.36981052,nan,7.398625823
319,20241028,0700,nan,18.46111461,nan,17.14580917,nan,12.06249182
320,20241028,0800,nan,14.00679702,nan,15.43843235,nan,11.03592093
321,20241028,0900,nan,21.24194993,nan,18.76490992,nan,13.3885431
322,20241028,1000,nan,21.1281871,nan,19.05833401,nan,13.73588064
323,20241028,1100,nan,22.85434546,nan,20.65414504,nan,14.96942716
324,20241028,1200,nan,24.38890762,nan,22.32664203,nan,16.28996538
325,20241028,1300,nan,18.31763833,nan,20.56386491,nan,15.21787713
326,20241028,1400,nan,15.35680446,nan,20.34257216,nan,15.23298215
327,20241028,1500,nan,-0.6633190195,nan,14.57802378,nan,11.48762177
328,20241028,1600,nan,4.952608274,nan,17.37165614,nan,13.49873647
329,20241028,1700,nan,11.87841417,nan,20.75969243,nan,15.95651917
330,20241028,1800,nan,17.50525488,nan,23.30206473,nan,17.87523369
331,20241028,1900,nan,27.07052191,nan,27.96697504,nan,21.41721045
332,20241028,2000,nan,24.52900089,nan,27.48298924,nan,21.28502692
333,20241028,2100,nan,25.76453795,nan,28.62940349,nan,22.38501891
334,20241028,2200,nan,27.45721897,nan,29.91187774,nan,23.5521566
335,20241028,2300,nan,24.63432833,nan,29.32622687,nan,23.33370545
336,20241029,0000,nan,21.36635543,nan,28.76162529,nan,23.17997832
337,20241029,0100,nan,27.97815484,nan,32.04968796,nan,25.96672943
338,20241029,0200,nan,41.33292078,nan,39.13316473,nan,32.12262137
339,20241029,0300,nan,32.30268028,nan,36.34031456,nan,30.06758944
340,20241029,0400,nan,31.27216852,nan,37.00716014,nan,30.97076732
341,20241029,0500,nan,25.35443086,nan,35.92522083,nan,30.45819047
342,20241029,0600,nan,27.08240616,nan,37.0425138,nan,31.67831968
343,20241029,0700,nan,15.71840903,nan,34.17210044,nan,29.75987359
344,20241029,0800,nan,15.46833881,nan,34.51986442,nan,30.34991744
345,20241029,0900,nan,17.00693777,nan,35.33092326,nan,31.27992708
346,20241029,1000,nan,8.452654693,nan,33.26817864,nan,30.0720136
347,20241029,1100,nan,13.58057132,nan,35.08768812,nan,31.7013424
348,20241029,1200,nan,-1.692456133,nan,30.70322541,nan,28.94303925
349,20241029,1300,nan,20.84558315,nan,36.42878049,nan,33.32565952
350,20241029,1400,nan,20.06762145,nan,36.03095112,nan,33.39952382
351,20241029,1500,nan,31.52426721,nan,39.2999552,nan,36.14462905
352,20241029,1600,nan,35.43067443,nan,40.76309182,nan,37.57770058
353,20241029,1700,nan,31.9896998,nan,39.89136045,nan,37.17187419
354,20241029,1800,nan,37.10808306,nan,41.89680799,nan,39.00783527
355,20241029,1900,nan,17.47075952,nan,36.62191278,nan,35.33724907
356,20241029,2000,nan,7.639360033,nan,33.91635061,nan,33.82370286
357,20241029,2100,nan,2.49580104,nan,32.53239273,nan,33.29581292
358,20241029,2200,nan,11.28126842,nan,34.88685804,nan,35.07397711
359,20241029,2300,nan,8.828086431,nan,34.62751081,nan,35.23650528
360,20241030,0000,nan,-7.905332964,nan,29.34029428,nan,32.32411369
361,20241030,0100,nan,-5.340502456,nan,29.69205887,nan,32.80297633
362,20241030,0200,nan,-7.596347488,nan,27.95750255,nan,32.10514474
363,20241030,0300,nan,-9.691892771,nan,25.69426469,nan,31.15283533
364,20241030,0400,nan,-6.748429221,nan,25.17276338,nan,31.21193776
365,20241030,0500,nan,2.655396346,nan,26.52739931,nan,32.27138433
366,20241030,0600,nan,-3.151385353,nan,23.15624728,nan,30.77587656
367,20241030,0700,nan,-5.458028481,nan,21.02546014,nan,29.95695822
368,20241030,0800,nan,-4.853058642,nan,20.06555449,nan,29.75211786
369,20241030,0900,nan,6.682987999,nan,23.00624864,nan,31.57326173
370,20241030,1000,nan,1.128301538,nan,19.55471139,nan,30.059843
371,20241030,1100,nan,-11.09816182,nan,13.27871225,nan,27.04442813
372,20241030,1200,nan,-13.37538862,nan,10.63135464,nan,25.87224569
373,20241030,1300,nan,-8.846261046,nan,11.08529419,nan,26.25871035
374,20241030,1400,nan,5.429012065,nan,16.07417593,nan,29.01054207
375,20241030,1500,nan,-5.512657692,nan,10.40798392,nan,26.23743228
376,20241030,1600,nan,-2.716053916,nan,10.16492418,nan,26.28791888
377,20241030,1700,nan,-8.547219176,nan,6.261706283,nan,24.37424169
378,20241030,1800,nan,-5.185105587,nan,6.394743492,nan,24.60811002
379,20241030,1900,nan,-8.897795548,nan,3.350351765,nan,23.12941811
380,20241030,2000,nan,22.5095067,nan,16.21241773,nan,29.69683667
381,20241030,2100,nan,8.551335443,nan,9.124870563,nan,26.115621
382,20241030,2200,nan,7.640442314,nan,8.484305959,nan,25.82775604
383,20241030,2300,nan,4.572911133,nan,7.035451063,nan,25.10465013
384,20241031,0000,nan,-1.743486428,nan,3.9364908,nan,23.47999871
385,20241031,0100,nan,4.911797307,nan,6.072010209,nan,24.58406364
386,20241031,0200,nan,9.241253742,nan,7.836396911,nan,25.46858376
387,20241031,0300,nan,2.252572046,nan,4.476508819,nan,23.69834793
388,20241031,0400,nan,-1.398860826,nan,2.846995723,nan,22.76997773
389,20241031,0500,nan,-2.035441133,nan,2.65921254,nan,22.47956415
390,20241031,0600,nan,-5.404032981,nan,1.356455242,nan,21.69010838
391,20241031,0700,nan,2.413628404,nan,3.811597323,nan,22.8587579
392,20241031,0800,nan,-1.778848457,nan,1.54563544,nan,21.57395817
393,20241031,0900,nan,-0.5883338458,nan,1.655693582,nan,21.48196253
394,20241031,1000,nan,9.221858381,nan,5.82435925,nan,23.62687879
395,20241031,1100,nan,-4.153065018,nan,-0.1785329295,nan,20.18209001
396,20241031,1200,nan,-7.006433715,nan,-1.961997637,nan,19.01920836
397,20241031,1300,nan,-26.9481744,nan,-12.97274538,nan,11.95207636
398,20241031,1400,nan,-35.73321771,nan,-19.83278475,nan,6.756513836
399,20241031,1500,nan,-35.32977663,nan,-21.24649052,nan,5.269338223
400,20241031,1600,nan,-36.18806221,nan,-23.45749553,nan,3.060845221
401,20241031,1700,nan,-24.92981107,nan,-18.60559463,nan,6.173649056
402,20241031,1800,nan,-24.64179881,nan,-19.9943724,nan,4.543978572
